PLAYER,TEAM,START%,CR,PPR%,FPTS/G,START,STUD,STIFF,SAT
Aaron Rodgers,GB,75.0,0.343,75.0,22.8,12,6,1,0
Matt Ryan,ATL,68.8,0.308,68.8,20.9,11,5,0,0
Andrew Luck,IND,62.5,0.347,62.5,19.8,10,3,2,1
Kirk Cousins,WAS,62.5,0.359,62.5,18.1,10,0,3,0
Drew Brees,NO,62.5,0.424,62.5,20.2,10,5,3,0
Dak Prescott,DAL,56.3,0.412,56.3,16.9,9,0,4,0
Matthew Stafford,DET,50.0,0.361,50.0,16.7,8,1,5,0
Derek Carr,OAK,50.0,0.475,50.0,17.1,8,1,3,1
Tom Brady,NE,43.8,0.365,43.8,20.9,7,3,2,4
Russell Wilson,SEA,43.8,0.501,43.8,16.0,7,2,7,0
Marcus Mariota,TEN,43.8,0.535,43.8,16.5,7,2,5,1
Blake Bortles,JAC,37.5,0.400,37.5,16.2,6,0,4,0
Jameis Winston,TB,37.5,0.407,37.5,15.2,6,0,6,0
Alex Smith,KC,37.5,0.465,37.5,14.1,6,0,5,1
Ryan Tannehill,MIA,37.5,0.473,37.5,13.8,6,0,5,3
Ben Roethlisberger,PIT,37.5,0.521,37.5,17.6,6,3,4,2
Colin Kaepernick,SF,37.5,0.579,37.5,15.9,6,1,3,4
Andy Dalton,CIN,31.3,0.257,31.3,15.6,5,0,4,0
Carson Palmer,ARI,31.3,0.378,31.3,15.6,5,0,3,1
Tyrod Taylor,BUF,31.3,0.399,31.3,16.9,5,0,2,1
Cam Newton,CAR,31.3,0.400,31.3,16.1,5,1,4,1
Sam Bradford,MIN,31.3,0.416,31.3,14.0,5,0,5,1
Joe Flacco,BAL,25.0,0.394,25.0,14.4,4,1,4,0
Philip Rivers,SD,18.8,0.307,18.8,15.6,3,0,4,0
Ezekiel Elliott,DAL,93.8,0.401,93.8,18.7,15,6,0,1
David Johnson,ARI,93.8,0.426,93.8,19.6,15,8,0,0
LeGarrette Blount,NE,93.8,0.433,75.0,13.6,15,4,0,0
DeMarco Murray,TEN,87.5,0.427,87.5,14.3,14,3,1,0
LeSean McCoy,BUF,81.3,0.579,81.3,15.9,13,4,1,1
Devonta Freeman,ATL,81.3,0.631,81.3,13.5,13,4,1,0
Jordan Howard,CHI,81.3,0.606,75.0,12.6,13,3,0,1
Melvin Gordon,SD,75.0,0.538,75.0,15.3,12,3,1,3
Le'Veon Bell,PIT,75.0,0.547,75.0,19.3,12,4,0,4
Frank Gore,IND,75.0,0.412,62.5,10.3,12,1,0,0
Isaiah Crowell,CLE,62.5,0.647,68.8,9.6,10,2,1,0
Lamar Miller,HOU,62.5,0.647,62.5,10.6,10,3,0,2
Jeremy Hill,CIN,62.5,0.727,50.0,9.8,10,2,1,1
Todd Gurley,LA,56.3,0.545,68.8,8.8,9,0,0,0
Carlos Hyde,SF,56.3,0.665,56.3,11.8,9,3,0,3
Latavius Murray,OAK,56.3,0.683,56.3,11.7,9,2,2,2
Jay Ajayi,MIA,56.3,0.794,56.3,11.8,9,3,0,1
Spencer Ware,KC,56.3,0.652,50.0,10.5,9,1,0,2
Tevin Coleman,ATL,56.3,0.685,50.0,11.4,9,2,1,3
Mike Gillislee,BUF,50.0,0.631,31.3,7.4,8,0,2,1
Mark Ingram,NO,43.8,0.827,50.0,11.3,7,3,2,0
Terrance West,BAL,43.8,0.854,43.8,7.8,7,1,2,0
Matt Forte,NYJ,43.8,0.910,43.8,10.1,7,3,3,2
Jonathan Stewart,CAR,43.8,0.733,37.5,9.9,7,2,1,3
Bilal Powell,NYJ,37.5,1.001,56.3,8.0,6,1,2,0
Theo Riddick,DET,37.5,0.702,50.0,9.9,6,2,0,6
Devontae Booker,DEN,37.5,0.985,43.8,6.1,6,1,4,0
Ryan Mathews,PHI,37.5,0.778,37.5,9.6,6,2,1,3
James White,NE,37.5,0.806,37.5,5.7,6,0,2,0
Doug Martin,TB,37.5,0.471,31.3,8.3,6,0,0,8
Matt Asiata,MIN,37.5,0.655,31.3,5.6,6,0,3,0
Kenneth Dixon,BAL,37.5,0.805,31.3,5.4,6,0,3,4
Christine Michael,SEA/GB,37.5,0.976,31.3,7.0,6,1,4,1
Darren Sproles,PHI,31.3,0.694,50.0,6.5,5,0,1,1
T.J. Yeldon,JAC,31.3,0.763,43.8,5.0,5,0,3,1
Jerick McKinnon,MIN,31.3,0.945,43.8,6.3,5,1,3,1
Rashad Jennings,NYG,31.3,0.638,31.3,7.1,5,1,0,3
Giovani Bernard,CIN,31.3,0.675,31.3,7.4,5,0,1,6
Chris Ivory,JAC,31.3,0.747,31.3,5.9,5,0,2,5
Jalen Richard,OAK,31.3,0.999,31.3,4.8,5,0,5,0
Tim Hightower,NO,31.3,1.050,31.3,5.8,5,0,7,0
Robert Kelley,WAS,31.3,1.097,31.3,7.3,5,1,3,1
Chris Thompson,WAS,31.3,0.753,25.0,5.4,5,0,2,0
C.J. Anderson,DEN,25.0,0.662,37.5,11.4,4,1,0,9
Shaun Draughn,SF,25.0,1.318,37.5,4.5,4,1,7,0
Jacquizz Rodgers,TB,25.0,0.840,25.0,6.8,4,0,2,6
Derrick Henry,TEN,25.0,0.980,25.0,5.7,4,0,4,1
Robert Turbin,IND,25.0,0.895,12.5,4.9,4,0,2,1
Duke Johnson Jr.,CLE,18.8,0.657,37.5,4.9,3,0,1,0
Ty Montgomery,GB,18.8,1.305,25.0,5.8,3,1,8,1
Jordy Nelson,GB,68.8,0.548,75.0,12.5,11,6,2,0
Kyle Rudolph,MIN,56.3,0.610,68.8,7.5,9,1,2,0
Greg Olsen,CAR,56.3,0.721,62.5,7.6,9,3,3,0
Travis Kelce,KC,56.3,0.713,56.3,8.3,9,2,2,0
Jimmy Graham,SEA,50.0,0.757,50.0,7.4,8,1,4,0
Hunter Henry,SD,50.0,0.826,25.0,6.0,8,0,6,1
Delanie Walker,TEN,43.8,0.652,43.8,7.8,7,2,3,1
Antonio Gates,SD,43.8,0.771,43.8,6.4,7,0,4,2
Zach Ertz,PHI,37.5,0.919,50.0,7.0,6,1,5,2
Martellus Bennett,NE,37.5,1.053,37.5,6.6,6,3,6,0
Cam Brate,TB,37.5,0.730,31.3,7.1,6,3,3,1
Jordan Reed,WAS,31.3,0.819,50.0,8.2,5,2,3,4
Eric Ebron,DET,31.3,0.593,37.5,6.0,5,1,1,3
Gary Barnidge,CLE,31.3,0.701,31.3,4.3,5,0,7,0
Zach Miller,CHI,31.3,0.789,31.3,6.9,5,1,3,6
Tyler Eifert,CIN,31.3,0.816,31.3,8.0,5,3,2,8
C.J. Fiedorowicz,HOU,25.0,0.828,37.5,5.0,4,0,5,1
Jack Doyle,IND,25.0,0.934,31.3,4.9,4,1,7,0
Rob Gronkowski,NE,25.0,0.976,25.0,8.6,4,3,3,8
Vernon Davis,WAS,25.0,1.004,25.0,4.0,4,0,9,0
Lance Kendricks,LA,25.0,1.057,25.0,3.4,4,0,10,0
Charles Clay,BUF,25.0,1.175,25.0,4.9,4,2,7,1
Dwayne Allen,IND,25.0,1.337,25.0,5.3,4,2,8,2
Julius Thomas,JAC,25.0,0.735,18.8,5.4,4,0,4,7
Vance McDonald,SF,25.0,0.963,18.8,5.4,4,0,4,5
Dennis Pitta,BAL,18.8,0.989,37.5,4.8,3,1,7,0
Jason Witten,DAL,18.8,0.914,31.3,4.8,3,1,5,0
Coby Fleener,NO,18.8,1.116,18.8,4.9,3,2,9,0
Jordy Nelson,GB,68.8,0.548,75.0,12.5,11,6,2,0
Antonio Brown,PIT,62.5,0.571,68.8,12.9,10,4,2,1
Odell Beckham Jr.,NYG,62.5,0.645,68.8,11.8,10,1,2,0
Mike Evans,TB,62.5,0.566,62.5,12.5,10,3,0,0
Davante Adams,GB,62.5,0.731,50.0,10.4,10,4,4,0
T.Y. Hilton,IND,56.3,0.625,62.5,11.0,9,5,4,0
Michael Crabtree,OAK,56.3,0.718,62.5,9.0,9,1,5,0
Julio Jones,ATL,56.3,0.771,56.3,12.1,9,5,4,2
Sterling Shepard,NYG,56.3,0.621,43.8,7.1,9,0,7,0
Michael Thomas,NO,50.0,0.620,56.3,10.5,8,3,4,1
Jarvis Landry,MIA,50.0,0.609,50.0,8.0,8,1,5,0
Tyrell Williams,SD,50.0,0.613,50.0,8.9,8,1,4,0
Terrelle Pryor,CLE,50.0,0.826,50.0,7.9,8,2,5,0
Demaryius Thomas,DEN,43.8,0.541,50.0,8.1,7,0,4,0
Jamison Crowder,WAS,43.8,0.692,50.0,7.6,7,2,6,0
Dez Bryant,DAL,43.8,0.841,50.0,9.7,7,3,4,3
DeSean Jackson,WAS,43.8,0.691,43.8,7.9,7,1,5,1
Tyreek Hill,KC,43.8,0.693,43.8,9.0,7,3,4,0
Amari Cooper,OAK,43.8,0.755,43.8,8.7,7,2,5,0
Rishard Matthews,TEN,43.8,0.574,37.5,8.8,7,2,5,0
Cameron Meredith,CHI,43.8,0.816,37.5,7.6,7,0,5,2
Kenny Stills,MIA,43.8,0.726,31.3,7.6,7,0,6,0
Brandin Cooks,NO,37.5,0.933,43.8,9.9,6,3,4,0
Golden Tate,DET,37.5,0.847,37.5,7.8,6,2,5,0
Steve Smith,BAL,37.5,0.697,31.3,7.6,6,1,4,2
DeVante Parker,MIA,37.5,0.777,31.3,6.1,6,0,7,1
Taylor Gabriel,ATL,37.5,0.912,31.3,7.5,6,0,7,3
Anquan Boldin,DET,37.5,0.650,18.8,6.2,6,0,7,0
Larry Fitzgerald,ARI,31.3,0.691,56.3,8.2,5,2,5,0
DeAndre Hopkins,HOU,31.3,0.628,43.8,7.0,5,0,5,0
Kenny Britt,LA,31.3,0.716,43.8,8.1,5,1,2,1
A.J. Green,CIN,31.3,0.748,43.8,11.6,5,3,2,6
Doug Baldwin,SEA,31.3,0.788,43.8,9.5,5,3,4,0
Mike Wallace,BAL,31.3,0.649,37.5,7.8,5,1,4,0
Allen Robinson,JAC,31.3,0.780,37.5,7.4,5,1,7,0
Donte Moncrief,IND,31.3,0.587,31.3,7.7,5,0,2,7
Kelvin Benjamin,CAR,31.3,0.746,31.3,8.0,5,2,4,0
Chris Hogan,NE,31.3,1.067,25.0,5.6,5,2,9,1
Pierre Garcon,WAS,25.0,0.548,37.5,7.1,4,1,5,0
Quincy Enunwa,NYJ,25.0,0.761,37.5,6.6,4,1,7,0
Stefon Diggs,MIN,25.0,0.833,37.5,7.9,4,1,4,3
Brandon LaFell,CIN,25.0,0.867,37.5,7.2,4,2,8,0
Marqise Lee,JAC,25.0,0.556,31.3,6.7,4,0,4,0
Cole Beasley,DAL,25.0,0.620,31.3,6.6,4,0,5,0
Emmanuel Sanders,DEN,25.0,0.910,31.3,7.8,4,3,6,0
Adam Thielen,MIN,25.0,1.067,31.3,7.5,4,2,8,0
Brandon Marshall,NYJ,25.0,0.849,25.0,5.9,4,0,8,1
Mohamed Sanu,ATL,25.0,0.869,25.0,5.5,4,0,7,1
Ted Ginn,CAR,25.0,0.901,25.0,5.9,4,0,6,0
Malcolm Mitchell,NE,25.0,1.343,25.0,4.2,4,1,10,2
Alshon Jeffery,CHI,25.0,0.519,18.8,7.4,4,1,3,4
Randall Cobb,GB,25.0,0.696,18.8,6.4,4,1,6,3
Eli Rogers,PIT,25.0,0.786,18.8,5.5,4,0,7,3
Adam Humphries,TB,25.0,0.808,18.8,4.5,4,0,6,1
Dontrelle Inman,SD,25.0,0.927,18.8,6.1,4,1,6,0
Marvin Jones,DET,25.0,1.030,18.8,7.3,4,1,5,1
J.J. Nelson,ARI,25.0,1.073,18.8,6.5,4,2,8,1
Travis Benjamin,SD,25.0,1.156,12.5,5.6,4,1,7,2
Willie Snead,NO,18.8,0.774,37.5,7.5,3,1,6,1
Julian Edelman,NE,18.8,0.677,31.3,7.6,3,1,2,0
Tavon Austin,LA,18.8,0.968,25.0,5.2,3,0,9,1
John Brown,ARI,18.8,1.250,25.0,4.0,3,1,9,1
Ty Montgomery,GB,18.8,1.305,25.0,5.8,3,1,8,1
Jordan Matthews,PHI,12.5,0.652,25.0,6.5,2,0,4,2